Genome	Num bases covered	Frac bases covered	Frac bases covered over unambig	Average coverage/depth	Average coverage/depth over unambig
dengue, genome 13	10474	1.0	1.0	1.70899369868	1.70899369868
dengue, genome 13 (rc)	10474	1.0	1.0	1.70899369868	1.70899369868
dengue, genome 14	10445	1.0	1.0	2.11584490187	2.11584490187
dengue, genome 14 (rc)	10445	1.0	1.0	2.11584490187	2.11584490187
dengue, genome 15	10445	1.0	1.0	2.11584490187	2.11584490187
dengue, genome 15 (rc)	10445	1.0	1.0	2.11584490187	2.11584490187
dengue, genome 16	10445	1.0	1.0	2.14456677836	2.14456677836
dengue, genome 16 (rc)	10445	1.0	1.0	2.14456677836	2.14456677836
dengue, genome 17	10445	1.0	1.0	2.1254188607	2.1254188607
dengue, genome 17 (rc)	10445	1.0	1.0	2.1254188607	2.1254188607
dengue, genome 18	10444	1.0	1.0	2.10647261586	2.10647261586
dengue, genome 18 (rc)	10444	1.0	1.0	2.10647261586	2.10647261586
dengue, genome 19	10444	1.0	1.0	2.16392186902	2.16392186902
dengue, genome 19 (rc)	10444	1.0	1.0	2.16392186902	2.16392186902
dengue, genome 20	10444	1.0	1.0	2.14477211796	2.14477211796
dengue, genome 20 (rc)	10444	1.0	1.0	2.14477211796	2.14477211796
dengue, genome 21	10444	1.0	1.0	2.18307162007	2.18307162007
dengue, genome 21 (rc)	10444	1.0	1.0	2.18307162007	2.18307162007
dengue, genome 22	10442	1.0	1.0	2.07814594905	2.07814594905
dengue, genome 22 (rc)	10442	1.0	1.0	2.07814594905	2.07814594905
dengue, genome 23	10444	1.0	1.0	2.13519724244	2.13519724244
dengue, genome 23 (rc)	10444	1.0	1.0	2.13519724244	2.13519724244
dengue, genome 24	10445	1.0	1.0	2.11584490187	2.11584490187
dengue, genome 24 (rc)	10445	1.0	1.0	2.11584490187	2.11584490187
dengue, genome 25	10384	1.0	1.0	2.03197226502	2.03197226502
dengue, genome 25 (rc)	10384	1.0	1.0	2.03197226502	2.03197226502
dengue, genome 26	10480	1.0	1.0	2.18511450382	2.18511450382
dengue, genome 26 (rc)	10480	1.0	1.0	2.18511450382	2.18511450382
dengue, genome 27	10456	1.0	1.0	2.21882172915	2.21882172915
dengue, genome 27 (rc)	10456	1.0	1.0	2.21882172915	2.21882172915
dengue, genome 28	10443	1.0	1.0	2.16412908168	2.16412908168
dengue, genome 28 (rc)	10443	1.0	1.0	2.16412908168	2.16412908168
dengue, genome 29	10461	1.0	1.0	2.18908326164	2.18908326164
dengue, genome 29 (rc)	10461	1.0	1.0	2.18908326164	2.18908326164
dengue, genome 30	10443	1.0	1.0	2.15455328928	2.15455328928
dengue, genome 30 (rc)	10443	1.0	1.0	2.15455328928	2.15455328928
dengue, genome 31	10465	1.0	1.0	2.17869087434	2.17869087434
dengue, genome 31 (rc)	10465	1.0	1.0	2.17869087434	2.17869087434
dengue, genome 32	10445	1.0	1.0	2.02010531355	2.02010531355
dengue, genome 32 (rc)	10445	1.0	1.0	2.02010531355	2.02010531355
dengue, genome 33	10448	1.0	1.0	2.1056661562	2.1056661562
dengue, genome 33 (rc)	10448	1.0	1.0	2.1056661562	2.1056661562
dengue, genome 34	10448	1.0	1.0	2.1248085758	2.1248085758
dengue, genome 34 (rc)	10448	1.0	1.0	2.1248085758	2.1248085758
dengue, genome 35	10444	1.0	1.0	2.07774798928	2.07774798928
dengue, genome 35 (rc)	10444	1.0	1.0	2.07774798928	2.07774798928
dengue, genome 36	10443	1.0	1.0	2.03006798813	2.03006798813
dengue, genome 36 (rc)	10443	1.0	1.0	2.03006798813	2.03006798813
dengue, genome 37	10444	1.0	1.0	2.11604749138	2.11604749138
dengue, genome 37 (rc)	10444	1.0	1.0	2.11604749138	2.11604749138
dengue, genome 38	10442	1.0	1.0	2.10687607738	2.10687607738
dengue, genome 38 (rc)	10442	1.0	1.0	2.10687607738	2.10687607738
dengue, genome 39	10444	1.0	1.0	2.12562236691	2.12562236691
dengue, genome 39 (rc)	10444	1.0	1.0	2.12562236691	2.12562236691
dengue, genome 40	10444	1.0	1.0	2.06817311375	2.06817311375
dengue, genome 40 (rc)	10444	1.0	1.0	2.06817311375	2.06817311375
dengue, genome 41	10444	1.0	1.0	2.14477211796	2.14477211796
dengue, genome 41 (rc)	10444	1.0	1.0	2.14477211796	2.14477211796
dengue, genome 42	10265	1.0	1.0	2.12372138334	2.12372138334
dengue, genome 42 (rc)	10265	1.0	1.0	2.12372138334	2.12372138334
dengue, genome 43	10522	1.0	1.0	2.17639232085	2.17639232085
dengue, genome 43 (rc)	10522	1.0	1.0	2.17639232085	2.17639232085
dengue, genome 44	10456	1.0	1.0	2.15187452181	2.15187452181
dengue, genome 44 (rc)	10456	1.0	1.0	2.15187452181	2.15187452181
dengue, genome 45	10648	1.0	1.0	2.30090157776	2.30090157776
dengue, genome 45 (rc)	10648	1.0	1.0	2.30090157776	2.30090157776
dengue, genome 46	10444	1.0	1.0	2.05859823822	2.05859823822
dengue, genome 46 (rc)	10444	1.0	1.0	2.05859823822	2.05859823822
dengue, genome 47	10798	1.0	1.0	2.2781996666	2.2781996666
dengue, genome 47 (rc)	10798	1.0	1.0	2.2781996666	2.2781996666
dengue, genome 48	10453	1.0	1.0	2.13335884435	2.13335884435
dengue, genome 48 (rc)	10453	1.0	1.0	2.13335884435	2.13335884435
dengue, genome 49	10452	1.0	1.0	2.1622655951	2.1622655951
dengue, genome 49 (rc)	10452	1.0	1.0	2.1622655951	2.1622655951
dengue, genome 50	10735	1.0	1.0	1.76059618072	1.76059618072
dengue, genome 50 (rc)	10735	1.0	1.0	1.76059618072	1.76059618072
dengue, genome 51	10718	1.0	1.0	1.80070908752	1.80070908752
dengue, genome 51 (rc)	10718	1.0	1.0	1.80070908752	1.80070908752
dengue, genome 52	10734	1.0	1.00018635855	1.85392211664	1.85426761088
dengue, genome 52 (rc)	10734	1.0	1.00018635855	1.85392211664	1.85426761088
dengue, genome 53	10735	1.0	1.00009316192	1.89101071262	1.8911868828
dengue, genome 53 (rc)	10735	1.0	1.00009316192	1.89101071262	1.8911868828
dengue, genome 54	10735	1.0	1.00009316192	1.89101071262	1.8911868828
dengue, genome 54 (rc)	10735	1.0	1.00009316192	1.89101071262	1.8911868828
dengue, genome 55	10735	1.0	1.00009316192	1.8630647415	1.86323830818
dengue, genome 55 (rc)	10735	1.0	1.00009316192	1.8630647415	1.86323830818
dengue, genome 56	10735	1.0	1.0	1.88169538891	1.88169538891
dengue, genome 56 (rc)	10735	1.0	1.0	1.88169538891	1.88169538891
dengue, genome 57	10735	1.0	1.0	1.82580344667	1.82580344667
dengue, genome 57 (rc)	10735	1.0	1.0	1.82580344667	1.82580344667
dengue, genome 58	10724	1.0	1.0	1.85565087654	1.85565087654
dengue, genome 58 (rc)	10724	1.0	1.0	1.85565087654	1.85565087654
dengue, genome 59	10735	1.0	1.0	1.94690265487	1.94690265487
dengue, genome 59 (rc)	10735	1.0	1.0	1.94690265487	1.94690265487
dengue, genome 60	10735	1.0	1.0	1.91895668374	1.91895668374
dengue, genome 60 (rc)	10735	1.0	1.0	1.91895668374	1.91895668374
dengue, genome 61	10735	1.0	1.0	1.84443409408	1.84443409408
dengue, genome 61 (rc)	10735	1.0	1.0	1.84443409408	1.84443409408
dengue, genome 62	10699	1.0	1.0	1.46742686232	1.46742686232
dengue, genome 62 (rc)	10699	1.0	1.0	1.46742686232	1.46742686232
dengue, genome 63	10699	1.0	1.0	1.37396018319	1.37396018319
dengue, genome 63 (rc)	10699	1.0	1.0	1.37396018319	1.37396018319
dengue, genome 64	10699	1.0	1.0	1.43938685858	1.43938685858
dengue, genome 64 (rc)	10699	1.0	1.0	1.43938685858	1.43938685858
dengue, genome 65	10699	1.0	1.0	1.37396018319	1.37396018319
dengue, genome 65 (rc)	10699	1.0	1.0	1.37396018319	1.37396018319
dengue, genome 66	10694	1.0	1.0	1.79539928932	1.79539928932
dengue, genome 66 (rc)	10694	1.0	1.0	1.79539928932	1.79539928932
dengue, genome 67	10694	1.0	1.0	1.76734617543	1.76734617543
dengue, genome 67 (rc)	10694	1.0	1.0	1.76734617543	1.76734617543
dengue, genome 68	10669	1.0	1.0	1.92145468179	1.92145468179
dengue, genome 68 (rc)	10669	1.0	1.0	1.92145468179	1.92145468179
dengue, genome 69	10669	1.0	1.0	1.94957353079	1.94957353079
dengue, genome 69 (rc)	10669	1.0	1.0	1.94957353079	1.94957353079
dengue, genome 70	10669	1.0	1.0	1.92145468179	1.92145468179
dengue, genome 70 (rc)	10669	1.0	1.0	1.92145468179	1.92145468179
dengue, genome 71	10668	1.0	1.0	1.75290588676	1.75290588676
dengue, genome 71 (rc)	10668	1.0	1.0	1.75290588676	1.75290588676
dengue, genome 72	10671	1.0	1.0	1.76178427514	1.76178427514
dengue, genome 72 (rc)	10671	1.0	1.0	1.76178427514	1.76178427514
dengue, genome 73	10723	1.0	1.0	2.14492213	2.14492213
dengue, genome 73 (rc)	10723	1.0	1.0	2.14492213	2.14492213
dengue, genome 74	10670	1.0	1.0	1.6213683224	1.6213683224
dengue, genome 74 (rc)	10670	1.0	1.0	1.6213683224	1.6213683224
dengue, genome 75	10723	1.0	1.0	2.15424787839	2.15424787839
dengue, genome 75 (rc)	10723	1.0	1.0	2.15424787839	2.15424787839
dengue, genome 76	10723	1.0	1.0	2.21020236874	2.21020236874
dengue, genome 76 (rc)	10723	1.0	1.0	2.21020236874	2.21020236874
dengue, genome 77	10726	1.0	1.0	2.19093790789	2.19093790789
dengue, genome 77 (rc)	10726	1.0	1.0	2.19093790789	2.19093790789
dengue, genome 78	10630	1.0	1.0	2.05079962371	2.05079962371
dengue, genome 78 (rc)	10630	1.0	1.0	2.05079962371	2.05079962371
dengue, genome 79	10542	1.0	1.0	2.01100360463	2.01100360463
dengue, genome 79 (rc)	10542	1.0	1.0	2.01100360463	2.01100360463
dengue, genome 80	10539	1.0	1.0	1.9925989183	1.9925989183
dengue, genome 80 (rc)	10539	1.0	1.0	1.9925989183	1.9925989183
dengue, genome 81	10544	1.0	1.0	2.02959028832	2.02959028832
dengue, genome 81 (rc)	10544	1.0	1.0	2.02959028832	2.02959028832
dengue, genome 82	10540	1.0	1.0	1.98292220114	1.98292220114
dengue, genome 82 (rc)	10540	1.0	1.0	1.98292220114	1.98292220114
dengue, genome 83	10597	1.0	1.0	2.01000283099	2.01000283099
dengue, genome 83 (rc)	10597	1.0	1.0	2.01000283099	2.01000283099
dengue, genome 84	10723	1.0	1.0	1.79986943952	1.79986943952
dengue, genome 84 (rc)	10723	1.0	1.0	1.79986943952	1.79986943952
dengue, genome 85	10723	1.0	1.0	1.85582392987	1.85582392987
dengue, genome 85 (rc)	10723	1.0	1.0	1.85582392987	1.85582392987
dengue, genome 86	10723	1.0	1.0	1.79054369113	1.79054369113
dengue, genome 86 (rc)	10723	1.0	1.0	1.79054369113	1.79054369113
dengue, genome 87	10723	1.0	1.0	1.88380117504	1.88380117504
dengue, genome 87 (rc)	10723	1.0	1.0	1.88380117504	1.88380117504
dengue, genome 88	10723	1.0	1.0	1.88380117504	1.88380117504
dengue, genome 88 (rc)	10723	1.0	1.0	1.88380117504	1.88380117504
dengue, genome 89	10725	1.0	1.0	2.06060606061	2.06060606061
dengue, genome 89 (rc)	10725	1.0	1.0	2.06060606061	2.06060606061
dengue, genome 90	10678	1.0	1.0	2.03221577074	2.03221577074
dengue, genome 90 (rc)	10678	1.0	1.0	2.03221577074	2.03221577074
dengue, genome 91	10678	1.0	1.0	2.03221577074	2.03221577074
dengue, genome 91 (rc)	10678	1.0	1.0	2.03221577074	2.03221577074
dengue, genome 92	10678	1.0	1.0	2.02285072111	2.02285072111
dengue, genome 92 (rc)	10678	1.0	1.0	2.02285072111	2.02285072111
dengue, genome 93	10678	1.0	1.0	1.95729537367	1.95729537367
dengue, genome 93 (rc)	10678	1.0	1.0	1.95729537367	1.95729537367
dengue, genome 94	10477	1.0	1.0	1.95666698482	1.95666698482
dengue, genome 94 (rc)	10477	1.0	1.0	1.95666698482	1.95666698482
dengue, genome 95	10300	1.0	1.0	1.94174757282	1.94174757282
dengue, genome 95 (rc)	10300	1.0	1.0	1.94174757282	1.94174757282
dengue, genome 96	10481	1.0	1.0	1.94637916229	1.94637916229
dengue, genome 96 (rc)	10481	1.0	1.0	1.94637916229	1.94637916229
dengue, genome 97	10479	1.0	1.0	1.87995037694	1.87995037694
dengue, genome 97 (rc)	10479	1.0	1.0	1.87995037694	1.87995037694
dengue, genome 98	10494	1.0	1.0	1.97255574614	1.97255574614
dengue, genome 98 (rc)	10494	1.0	1.0	1.97255574614	1.97255574614
dengue, genome 99	10477	1.0	1.0	1.94712226782	1.94712226782
dengue, genome 99 (rc)	10477	1.0	1.0	1.94712226782	1.94712226782
dengue, genome 100	10477	1.0	1.0	1.95666698482	1.95666698482
dengue, genome 100 (rc)	10477	1.0	1.0	1.95666698482	1.95666698482
dengue, genome 101	10723	1.0	1.00027985075	1.930429917	1.93097014925
dengue, genome 101 (rc)	10723	1.0	1.00027985075	1.930429917	1.93097014925
dengue, genome 102	10723	1.0	1.00009326618	2.19155087196	2.19175526954
dengue, genome 102 (rc)	10723	1.0	1.00009326618	2.19155087196	2.19175526954
dengue, genome 103	10723	1.0	1.0	2.17289937517	2.17289937517
dengue, genome 103 (rc)	10723	1.0	1.0	2.17289937517	2.17289937517
dengue, genome 104	10723	1.0	1.0	2.17289937517	2.17289937517
dengue, genome 104 (rc)	10723	1.0	1.0	2.17289937517	2.17289937517
dengue, genome 105	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 105 (rc)	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 106	10723	1.0	1.0	2.18222512357	2.18222512357
dengue, genome 106 (rc)	10723	1.0	1.0	2.18222512357	2.18222512357
dengue, genome 107	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 107 (rc)	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 108	10723	1.0	1.0	2.18222512357	2.18222512357
dengue, genome 108 (rc)	10723	1.0	1.0	2.18222512357	2.18222512357
dengue, genome 109	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 109 (rc)	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 110	10723	1.0	1.00009326618	2.20087662035	2.20108188771
dengue, genome 110 (rc)	10723	1.0	1.00009326618	2.20087662035	2.20108188771
dengue, genome 111	10723	1.0	1.0	2.17289937517	2.17289937517
dengue, genome 111 (rc)	10723	1.0	1.0	2.17289937517	2.17289937517
dengue, genome 112	10723	1.0	1.0	2.17289937517	2.17289937517
dengue, genome 112 (rc)	10723	1.0	1.0	2.17289937517	2.17289937517
dengue, genome 113	10723	1.0	1.00018654976	2.19155087196	2.19195970525
dengue, genome 113 (rc)	10723	1.0	1.00018654976	2.19155087196	2.19195970525
dengue, genome 114	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 114 (rc)	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 115	10723	1.0	1.0	2.18222512357	2.18222512357
dengue, genome 115 (rc)	10723	1.0	1.0	2.18222512357	2.18222512357
dengue, genome 116	10723	1.0	1.00046650494	2.16357362678	2.16458294458
dengue, genome 116 (rc)	10723	1.0	1.00046650494	2.16357362678	2.16458294458
dengue, genome 117	10723	1.0	1.0	2.20087662035	2.20087662035
dengue, genome 117 (rc)	10723	1.0	1.0	2.20087662035	2.20087662035
dengue, genome 118	10723	1.0	1.00009326618	2.20087662035	2.20108188771
dengue, genome 118 (rc)	10723	1.0	1.00009326618	2.20087662035	2.20108188771
dengue, genome 119	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 119 (rc)	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 120	10723	1.0	1.0	2.18222512357	2.18222512357
dengue, genome 120 (rc)	10723	1.0	1.0	2.18222512357	2.18222512357
dengue, genome 121	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 121 (rc)	10723	1.0	1.0	2.19155087196	2.19155087196
dengue, genome 122	10629	1.0	1.0	1.64643898768	1.64643898768
dengue, genome 122 (rc)	10629	1.0	1.0	1.64643898768	1.64643898768
dengue, genome 123	10629	1.0	1.0	1.63703076489	1.63703076489
dengue, genome 123 (rc)	10629	1.0	1.0	1.63703076489	1.63703076489
dengue, genome 124	10629	1.0	1.0	1.60880609653	1.60880609653
dengue, genome 124 (rc)	10629	1.0	1.0	1.60880609653	1.60880609653
dengue, genome 125	10723	1.0	1.0	1.70661195561	1.70661195561
dengue, genome 125 (rc)	10723	1.0	1.0	1.70661195561	1.70661195561
dengue, genome 126	10507	1.0	1.0	1.93204530313	1.93204530313
dengue, genome 126 (rc)	10507	1.0	1.0	1.93204530313	1.93204530313
dengue, genome 127	10508	1.0	1.0	1.92234488009	1.92234488009
dengue, genome 127 (rc)	10508	1.0	1.0	1.92234488009	1.92234488009
dengue, genome 128	10696	1.0	1.0	1.91660433807	1.91660433807
dengue, genome 128 (rc)	10696	1.0	1.0	1.91660433807	1.91660433807
dengue, genome 129	10659	1.0	1.0	1.94202082747	1.94202082747
dengue, genome 129 (rc)	10659	1.0	1.0	1.94202082747	1.94202082747
dengue, genome 130	10587	1.0	1.0	2.00245584207	2.00245584207
dengue, genome 130 (rc)	10587	1.0	1.0	2.00245584207	2.00245584207
dengue, genome 131	10599	1.0	1.0	2.02849325408	2.02849325408
dengue, genome 131 (rc)	10599	1.0	1.0	2.02849325408	2.02849325408
dengue, genome 132	10598	1.0	1.0	2.0003774297	2.0003774297
dengue, genome 132 (rc)	10598	1.0	1.0	2.0003774297	2.0003774297
dengue, genome 133	10596	1.0	1.0	2.00075500189	2.00075500189
dengue, genome 133 (rc)	10596	1.0	1.0	2.00075500189	2.00075500189
dengue, genome 134	10611	1.0	1.0	2.04504759212	2.04504759212
dengue, genome 134 (rc)	10611	1.0	1.0	2.04504759212	2.04504759212
dengue, genome 135	10723	1.0	1.0	1.55739998135	1.55739998135
dengue, genome 135 (rc)	10723	1.0	1.0	1.55739998135	1.55739998135
dengue, genome 136	10670	1.0	1.0	1.61199625117	1.61199625117
dengue, genome 136 (rc)	10670	1.0	1.0	1.61199625117	1.61199625117
dengue, genome 137	10723	1.0	1.0	1.79054369113	1.79054369113
dengue, genome 137 (rc)	10723	1.0	1.0	1.79054369113	1.79054369113
dengue, genome 138	10723	1.0	1.00009326618	1.72526345239	1.72542436113
dengue, genome 138 (rc)	10723	1.0	1.00009326618	1.72526345239	1.72542436113
dengue, genome 139	10670	1.0	1.0	1.75257731959	1.75257731959
dengue, genome 139 (rc)	10670	1.0	1.0	1.75257731959	1.75257731959
dengue, genome 140	10673	1.0	1.0	1.46163215591	1.46163215591
dengue, genome 140 (rc)	10673	1.0	1.0	1.46163215591	1.46163215591
dengue, genome 141	10686	1.0	1.0	1.99326221224	1.99326221224
dengue, genome 141 (rc)	10686	1.0	1.0	1.99326221224	1.99326221224
dengue, genome 142	10675	1.0	1.0	1.98594847775	1.98594847775
dengue, genome 142 (rc)	10675	1.0	1.0	1.98594847775	1.98594847775
dengue, genome 143	10678	1.0	1.0	1.9666604233	1.9666604233
dengue, genome 143 (rc)	10678	1.0	1.0	1.9666604233	1.9666604233
dengue, genome 144	10677	1.0	1.0	1.95747869252	1.95747869252
dengue, genome 144 (rc)	10677	1.0	1.0	1.95747869252	1.95747869252
dengue, genome 145	10686	1.0	1.0	1.99326221224	1.99326221224
dengue, genome 145 (rc)	10686	1.0	1.0	1.99326221224	1.99326221224
dengue, genome 146	10675	1.0	1.0	2.03278688525	2.03278688525
dengue, genome 146 (rc)	10675	1.0	1.0	2.03278688525	2.03278688525
dengue, genome 147	10707	1.0	1.0	2.12944802466	2.12944802466
dengue, genome 147 (rc)	10707	1.0	1.0	2.12944802466	2.12944802466
dengue, genome 148	10652	1.0	1.0	2.03717611716	2.03717611716
dengue, genome 148 (rc)	10652	1.0	1.0	2.03717611716	2.03717611716
dengue, genome 149	10539	1.0	1.0	2.01157605086	2.01157605086
dengue, genome 149 (rc)	10539	1.0	1.0	2.01157605086	2.01157605086
dengue, genome 150	10538	1.0	1.0	2.00227747201	2.00227747201
dengue, genome 150 (rc)	10538	1.0	1.0	2.00227747201	2.00227747201
dengue, genome 151	10539	1.0	1.0	1.98311035203	1.98311035203
dengue, genome 151 (rc)	10539	1.0	1.0	1.98311035203	1.98311035203
dengue, genome 152	10381	1.0	1.0	1.89769771698	1.89769771698
dengue, genome 152 (rc)	10381	1.0	1.0	1.89769771698	1.89769771698
dengue, genome 153	10540	1.0	1.0	2.03036053131	2.03036053131
dengue, genome 153 (rc)	10540	1.0	1.0	2.03036053131	2.03036053131
dengue, genome 154	10537	1.0	1.0	1.90756382272	1.90756382272
dengue, genome 154 (rc)	10537	1.0	1.0	1.90756382272	1.90756382272
dengue, genome 155	10539	1.0	1.0	1.98311035203	1.98311035203
dengue, genome 155 (rc)	10539	1.0	1.0	1.98311035203	1.98311035203
dengue, genome 156	10539	1.0	1.0	2.02106461714	2.02106461714
dengue, genome 156 (rc)	10539	1.0	1.0	2.02106461714	2.02106461714
dengue, genome 157	10538	1.0	1.0	1.97380907193	1.97380907193
dengue, genome 157 (rc)	10538	1.0	1.0	1.97380907193	1.97380907193
dengue, genome 158	10310	1.0	1.0	1.90106692532	1.90106692532
dengue, genome 158 (rc)	10310	1.0	1.0	1.90106692532	1.90106692532
dengue, genome 159	10583	1.0	1.0	2.04100916564	2.04100916564
dengue, genome 159 (rc)	10583	1.0	1.0	2.04100916564	2.04100916564
dengue, genome 160	10537	1.0	1.0	1.98348676094	1.98348676094
dengue, genome 160 (rc)	10537	1.0	1.0	1.98348676094	1.98348676094
dengue, genome 161	10531	1.0	1.0	1.92764219922	1.92764219922
dengue, genome 161 (rc)	10531	1.0	1.0	1.92764219922	1.92764219922
dengue, genome 162	10581	1.0	1.0	2.0224931481	2.0224931481
dengue, genome 162 (rc)	10581	1.0	1.0	2.0224931481	2.0224931481
dengue, genome 163	10583	1.0	1.0	2.02211093263	2.02211093263
dengue, genome 163 (rc)	10583	1.0	1.0	2.02211093263	2.02211093263
dengue, genome 164	10540	1.0	1.0	2.03984819734	2.03984819734
dengue, genome 164 (rc)	10540	1.0	1.0	2.03984819734	2.03984819734
dengue, genome 165	10627	1.0	1.0	2.07019855086	2.07019855086
dengue, genome 165 (rc)	10627	1.0	1.0	2.07019855086	2.07019855086
dengue, genome 166	10580	1.0	1.0	1.9943289225	1.9943289225
dengue, genome 166 (rc)	10580	1.0	1.0	1.9943289225	1.9943289225
dengue, genome 167	10538	1.0	1.0	1.99278800531	1.99278800531
dengue, genome 167 (rc)	10538	1.0	1.0	1.99278800531	1.99278800531
dengue, genome 168	10539	1.0	1.0	2.03055318341	2.03055318341
dengue, genome 168 (rc)	10539	1.0	1.0	2.03055318341	2.03055318341
dengue, genome 169	10539	1.0	1.0	2.01157605086	2.01157605086
dengue, genome 169 (rc)	10539	1.0	1.0	2.01157605086	2.01157605086
dengue, genome 170	10539	1.0	1.0	2.03055318341	2.03055318341
dengue, genome 170 (rc)	10539	1.0	1.0	2.03055318341	2.03055318341
dengue, genome 171	10565	1.0	1.0	1.9119734974	1.9119734974
dengue, genome 171 (rc)	10565	1.0	1.0	1.9119734974	1.9119734974
dengue, genome 172	10539	1.0	1.0	2.02106461714	2.02106461714
dengue, genome 172 (rc)	10539	1.0	1.0	2.02106461714	2.02106461714
dengue, genome 173	10538	1.0	1.0	2.02125640539	2.02125640539
dengue, genome 173 (rc)	10538	1.0	1.0	2.02125640539	2.02125640539
dengue, genome 174	10539	1.0	1.0	2.02106461714	2.02106461714
dengue, genome 174 (rc)	10539	1.0	1.0	2.02106461714	2.02106461714
dengue, genome 175	10539	1.0	1.0	2.02106461714	2.02106461714
dengue, genome 175 (rc)	10539	1.0	1.0	2.02106461714	2.02106461714
dengue, genome 176	10540	1.0	1.0	1.99240986717	1.99240986717
dengue, genome 176 (rc)	10540	1.0	1.0	1.99240986717	1.99240986717
dengue, genome 177	10536	1.0	1.0	1.96469248292	1.96469248292
dengue, genome 177 (rc)	10536	1.0	1.0	1.96469248292	1.96469248292
dengue, genome 178	10539	1.0	1.0	2.03055318341	2.03055318341
dengue, genome 178 (rc)	10539	1.0	1.0	2.03055318341	2.03055318341
dengue, genome 179	10538	1.0	1.0	1.99278800531	1.99278800531
dengue, genome 179 (rc)	10538	1.0	1.0	1.99278800531	1.99278800531
dengue, genome 180	10566	1.0	1.0	1.99697141776	1.99697141776
dengue, genome 180 (rc)	10566	1.0	1.0	1.99697141776	1.99697141776
dengue, genome 181	10539	1.0	1.0	1.98311035203	1.98311035203
dengue, genome 181 (rc)	10539	1.0	1.0	1.98311035203	1.98311035203
dengue, genome 182	10540	1.0	1.0	2.03036053131	2.03036053131
dengue, genome 182 (rc)	10540	1.0	1.0	2.03036053131	2.03036053131
dengue, genome 183	10539	1.0	1.0	1.9925989183	1.9925989183
dengue, genome 183 (rc)	10539	1.0	1.0	1.9925989183	1.9925989183
dengue, genome 184	10534	1.0	1.0	1.9840516423	1.9840516423
dengue, genome 184 (rc)	10534	1.0	1.0	1.9840516423	1.9840516423
dengue, genome 185	10539	1.0	1.0	2.00208748458	2.00208748458
dengue, genome 185 (rc)	10539	1.0	1.0	2.00208748458	2.00208748458
dengue, genome 186	10539	1.0	1.0	2.00208748458	2.00208748458
dengue, genome 186 (rc)	10539	1.0	1.0	2.00208748458	2.00208748458
dengue, genome 187	10534	1.0	1.0	1.96506550218	1.96506550218
dengue, genome 187 (rc)	10534	1.0	1.0	1.96506550218	1.96506550218
dengue, genome 188	10539	1.0	1.0	1.97362178575	1.97362178575
dengue, genome 188 (rc)	10539	1.0	1.0	1.97362178575	1.97362178575
dengue, genome 189	10495	1.0	1.0	1.93425440686	1.93425440686
