dataset	mismatches	cover_extension	island_of_exact_match
louping_ill	3	40	25
lujo_mammarenavirus	1	30	25
luna_mammarenavirus	5	50	25
lunk_mammarenavirus	2	0	25
luxi_orthohantavirus	1	40	25
lymphocytic_choriomeningitis_mammarenavirus	7	50	25
lyssavirus_ozernoe	1	50	25
macaca_mulatta_polyomavirus_1	3	50	25
macaque_simian_foamy	4	50	25
machupo_mammarenavirus	6	50	25
madrid_orthobunyavirus	1	0	25
main_drain_orthobunyavirus	2	40	25
mamastrovirus_1	6	50	25
mamastrovirus_6	3	50	25
mamastrovirus_8	0	30	25
mamastrovirus_9	4	40	25
mammalian_orthoreovirus	7	50	25
mammalian_rubulavirus_5	3	50	25
manzanilla_orthobunyavirus	4	50	25
maporal_orthohantavirus	1	0	25
mapuera_rubulavirus	1	40	25
maraba_vesiculovirus	0	40	25
marburg_marburgvirus	5	50	25
marituba_orthobunyavirus	5	50	25
mayaro	3	50	25
meaban	0	40	25
measles_morbillivirus	6	50	25
menangle_rubulavirus	4	50	25
mercadeo	2	50	25
middle_east_respiratory_syndrome-related_coronavirus	7	50	25
mobala_mammarenavirus	2	40	25
modoc	0	40	25
mojiang_henipavirus	0	50	25
mokola_lyssavirus	4	0	25
molluscum_contagiosum	6	50	25
monkeypox	4	50	25
montana_myotis_leukoencephalitis	1	50	25
montano_orthohantavirus	1	50	25
mopeia_lassa_virus_reassortant_29	0	50	25
mopeia_mammarenavirus	1	50	25
morogoro_mammarenavirus	0	40	25
mossman	1	0	25
mosso_das_pedras	0	40	25
mucambo	1	40	25
mumps_rubulavirus	5	50	25
mupapillomavirus_1	1	30	25
murine_respirovirus	6	50	25
murray_valley_encephalitis	5	50	25
nairobi_sheep_disease_orthonairovirus	5	50	25
nariva	1	0	25
ndumu	0	40	25
nelson_bay_orthoreovirus	4	50	25
new_jersey_vesiculovirus	6	50	25
nipah_henipavirus	4	50	25
norwalk	7	50	25
norway_rat_hepacivirus_1	4	50	25
norway_rat_hepacivirus_2	1	40	25
nounane	4	30	25
nova_orthohantavirus	7	50	25
ntaya	1	40	25
nyando_orthobunyavirus	1	50	25
ochlerotatus_caspius_flavivirus	2	0	25
oliveros_mammarenavirus	0	50	25
omsk_hemorrhagic_fever	1	50	25
onyong-nyong	4	40	25
ordinary_reptarenavirus	3	30	25
orf	5	50	25
oriboca_orthobunyavirus	2	50	25
oropouche_orthobunyavirus	6	50	25
orthohepevirus_a	7	50	25
orthohepevirus_b	4	50	25
orthohepevirus_c	4	50	25
orthohepevirus_d	0	50	25
orungo	0	50	25
palm_creek	0	0	25
paraguayan_mammarenavirus	2	0	25
paraiso_escondido	0	40	25
parechovirus_a	7	50	25
parechovirus_b	6	50	25
parramatta_river	1	50	25
patois_orthobunyavirus	0	50	25
pegivirus_a	7	50	25
pegivirus_c	8	50	25
pegivirus_h	7	50	25
phnom_penh_bat	1	40	25
phocine_morbillivirus	0	0	25
pirital_mammarenavirus	2	0	25
piry_vesiculovirus	0	40	25
piscihepevirus_a	1	40	25
pixuna	1	50	25
porcine_respirovirus_1	5	50	25
porcine_rubulavirus	1	50	25
powassan	6	50	25
primate_erythroparvovirus_1	4	40	25
primate_t-lymphotropic_virus_1	5	50	25
primate_t-lymphotropic_virus_2	4	50	25
primate_t-lymphotropic_virus_3	6	50	25
prospect_hill_orthohantavirus	1	40	25
punta_toro_phlebovirus	5	50	25
puumala_orthohantavirus	7	50	25
qalyub_orthonairovirus	2	50	25
quang_binh	2	50	25
quezon_orthohantavirus	1	40	25
rabies_lyssavirus	8	50	25
razdan	1	40	25
reptilian_ferlavirus	2	0	25
respiratory_syncytial	4	50	25
reston_ebolavirus	3	50	25
rhinovirus_a	8	50	25
rhinovirus_b	8	50	25
rhinovirus_c	8	50	25
rift_valley_fever_phlebovirus	5	50	25
rinderpest_morbillivirus	4	50	25
rio_bravo	0	20	25
rio_negro	0	40	25
rockport_orthohantavirus	1	40	25
rodent_hepacivirus	1	0	25
rodent_torque_teno_virus_2	2	40	25
rosavirus_a	1	40	25
ross_river	3	40	25
rotavirus_a	8	50	25
rotavirus_b	8	50	25
rotavirus_c	8	50	25
rotavirus_f	0	0	25
rotavirus_g	3	50	25
rotavirus_h	3	50	25
rotavirus_i	6	0	25
royal_farm	1	0	25
rubella	5	50	25
ryukyu_mammarenavirus	1	0	25
saboya	0	40	25
saint_louis_encephalitis	5	50	25
sakhalin_orthonairovirus	1	0	25
salehabad_phlebovirus	0	50	25
salem	0	50	25
salivirus_a	5	50	25
salmon_aquaparamyxovirus	1	50	25
sandfly_fever_naples_phlebovirus	5	40	25
sandfly_fever_sicilian	4	50	25
sangassou_orthohantavirus	1	40	25
sapporo	8	50	25
sathuperi_orthobunyavirus	4	50	25
saumarez_reef	0	40	25
seal_anellovirus_2	0	20	25
seal_anellovirus_3	1	40	25
seal_anellovirus_tffn--usa--2006	0	0	25
semliki_forest	2	40	25
seoul_orthohantavirus	5	50	25
sepik	1	40	25
serra_do_navio_mammarenavirus	0	50	25
severe_acute_respiratory_syndrome-related_coronavirus	7	50	25
sewage_derived_gemygorvirus_1	0	20	25
sfts_phlebovirus	5	50	25
shamonda_orthobunyavirus	3	0	25
shimoni_bat_lyssavirus	0	40	25
shuni_orthobunyavirus	4	50	25
simbu_orthobunyavirus	0	40	25
simian_foamy	5	50	25
simian_immunodeficiency	8	50	25
simian_rubulavirus	1	40	25
simian_torque_teno_virus_30	1	20	25
simian_torque_teno_virus_31	0	30	25
simian_torque_teno_virus_32	0	30	25
simian_torque_teno_virus_33	0	30	25
simian_torque_teno_virus_34	1	0	25
sin_nombre_orthohantavirus	5	50	25
sindbis	5	50	25
small_anellovirus	1	20	25
small_ruminant_morbillivirus	7	50	25
solwezi_mammarenavirus	1	40	25
sosuga_rubulavirus	0	0	25
souris_mammarenavirus	0	40	25
spanish_goat_encephalitis	0	40	25
spondweni	1	40	25
sudan_ebolavirus	4	50	25
tacaiuma_orthobunyavirus	0	50	25
tacaribe_mammarenavirus	1	40	25
tai_forest_ebolavirus	1	40	25
tailam	1	50	25
tamana_bat	0	40	25
tamiami_mammarenavirus	2	50	25
tanapox	3	50	25
tapara	1	0	25
tembusu	5	50	25
tete_orthobunyavirus	0	50	25
thailand_orthohantavirus	2	50	25
thiafora_orthonairovirus	2	0	25
tho	0	0	25
thogoto_thogotovirus	1	50	25
thottapalayam_orthohantavirus	4	50	25
tick-borne_encephalitis	7	50	25
tioman_rubulavirus	0	50	25
tofla	2	50	25
tonate	0	40	25
toros	1	50	25
torque_teno	7	50	25
torque_teno_canis	3	30	25
torque_teno_douroucouli	0	0	25
torque_teno_felis	4	30	25
torque_teno_felis_virus_2	0	20	25
torque_teno_indri_virus_1	1	30	25
torque_teno_leptonychotes_weddellii_virus-1	8	50	25
torque_teno_leptonychotes_weddellii_virus-2	3	50	25
torque_teno_midi_virus_1	2	30	25
torque_teno_midi_virus_10	1	30	25
torque_teno_midi_virus_11	0	30	25
torque_teno_midi_virus_12	1	20	25
torque_teno_midi_virus_13	0	0	25
torque_teno_midi_virus_14	0	30	25
torque_teno_midi_virus_15	0	0	25
torque_teno_midi_virus_2	0	20	25
torque_teno_midi_virus_3	0	0	25
torque_teno_midi_virus_4	0	20	25
torque_teno_midi_virus_5	0	0	25
torque_teno_midi_virus_6	0	0	25
torque_teno_midi_virus_7	0	0	25
torque_teno_midi_virus_8	0	30	25
torque_teno_midi_virus_9	0	30	25
torque_teno_mini_virus_1	0	30	25
torque_teno_mini_virus_10	0	20	25
torque_teno_mini_virus_11	0	30	25
torque_teno_mini_virus_12	0	0	25
torque_teno_mini_virus_18	0	20	25
torque_teno_mini_virus_2	0	20	25
torque_teno_mini_virus_3	1	30	25
torque_teno_mini_virus_4	0	0	25
torque_teno_mini_virus_5	0	0	25
torque_teno_mini_virus_6	0	0	25
torque_teno_mini_virus_7	0	0	25
torque_teno_mini_virus_8	0	30	25
torque_teno_mini_virus_9	1	30	25
torque_teno_mini_virus_ala22	0	30	25
torque_teno_mini_virus_alh8	0	20	25
torque_teno_sus_virus_1a	5	50	25
torque_teno_sus_virus_1b	6	50	25
torque_teno_sus_virus_k2a	3	50	25
torque_teno_sus_virus_k2b	3	30	25
torque_teno_tamarin	0	0	25
torque_teno_tupaia	1	20	25
torque_teno_virus_1	1	0	25
torque_teno_virus_10	2	40	25
torque_teno_virus_11	0	0	25
torque_teno_virus_12	1	20	25
torque_teno_virus_13	0	20	25
torque_teno_virus_14	0	0	25
torque_teno_virus_15	0	30	25
torque_teno_virus_16	1	30	25
torque_teno_virus_19	2	30	25
torque_teno_virus_2	0	20	25
torque_teno_virus_20	0	30	25
torque_teno_virus_21	0	30	25
torque_teno_virus_23	1	30	25
torque_teno_virus_24	0	30	25
torque_teno_virus_25	1	20	25
torque_teno_virus_26	0	30	25
torque_teno_virus_27	1	30	25
torque_teno_virus_28	1	0	25
torque_teno_virus_29	3	40	25
torque_teno_virus_3	0	30	25
torque_teno_virus_4	0	30	25
torque_teno_virus_5	0	30	25
torque_teno_virus_6	0	20	25
torque_teno_virus_7	0	30	25
torque_teno_virus_8	1	30	25
torque_teno_virus_9	0	0	25
torque_teno_zalophus_virus_1	0	20	25
ttv-like_mini	0	50	25
tuhoko_rubulavirus_1	1	50	25
tuhoko_rubulavirus_2	2	30	25
tuhoko_rubulavirus_3	0	40	25
tula_orthohantavirus	4	50	25
tupaia_paramyxovirus	2	50	25
uganda_s	3	30	25
uriurana	0	50	25
urucuri	0	50	25
usutu	4	50	25
uukuniemi_phlebovirus	4	50	25
vaccinia	7	50	25
variola	2	50	25
venezuelan_equine_encephalitis	6	50	25
vesicular_exanthema_of_swine	1	50	25
wesselsbron	4	40	25
west_caucasian_bat_lyssavirus	1	40	25
west_nile	7	50	25
western_equine_encephalitis	4	40	25
whataroa	2	0	25
whitewater_arroyo_mammarenavirus	3	50	25
wyeomyia_orthobunyavirus	4	50	25
yaba_monkey_tumor	0	50	25
yakeshi_orthohantavirus	1	0	25
yaounde	1	50	25
yellow_fever	6	50	25
yogue	1	50	25
yokose	0	50	25
yug_bogdanovac_vesiculovirus	1	40	25
zaire_ebolavirus	6	50	25
zerdali	0	50	25
zika	7	50	25
zygosaccharomyces_bailii_virus_z	0	30	25
