dataset	mismatches	cover_extension	island_of_exact_match
kabuto_mountain	1	0	25
kadam	0	0	25
kadipiro	1	30	25
kaeng_khoi_orthobunyavirus	1	20	25
kairi_orthobunyavirus	2	20	25
kamiti_river	1	0	25
kasokero_orthonairovirus	1	0	25
kedougou	1	10	25
kenkeme_orthohantavirus	1	0	25
keterah_orthonairovirus	0	20	25
khabarovsk_orthohantavirus	1	20	25
khujand_lyssavirus	0	20	25
kokobera	0	30	25
koongol_orthobunyavirus	0	0	25
kyasanur_forest_disease	2	20	25
lagos_bat_lyssavirus	2	20	25
laguna_negra_orthohantavirus	0	0	25
laibin_orthohantavirus	1	20	25
langat	1	20	25
lassa_mammarenavirus	5	50	25
latino_mammarenavirus	0	20	25
le_dantec_ledantevirus	0	0	25
lebombo	0	20	25
leopards_hill	1	20	25
liao_ning	2	40	25
lleida_bat_lyssavirus	0	20	25
lloviu_cuevavirus	1	20	25
loei_river_mammarenavirus	1	20	25
louping_ill	2	20	25
lujo_mammarenavirus	0	10	25
luna_mammarenavirus	0	30	25
lunk_mammarenavirus	0	0	25
luxi_orthohantavirus	0	0	25
lymphocytic_choriomeningitis_mammarenavirus	2	50	25
lyssavirus_ozernoe	0	20	25
macaca_mulatta_polyomavirus_1	1	10	25
macaque_simian_foamy	1	0	25
machupo_mammarenavirus	3	30	25
madrid_orthobunyavirus	0	20	25
main_drain_orthobunyavirus	1	20	25
mamastrovirus_1	4	30	25
mamastrovirus_6	1	20	25
mamastrovirus_8	0	0	25
mamastrovirus_9	1	10	25
mammalian_orthoreovirus	5	50	25
mammalian_rubulavirus_5	3	0	25
manzanilla_orthobunyavirus	1	30	25
maporal_orthohantavirus	0	0	25
mapuera_rubulavirus	0	20	25
maraba_vesiculovirus	0	0	25
marburg_marburgvirus	3	40	25
marituba_orthobunyavirus	1	0	25
mayaro	2	20	25
meaban	0	0	25
measles_morbillivirus	3	30	25
menangle_rubulavirus	1	0	25
mercadeo	1	20	25
middle_east_respiratory_syndrome-related_coronavirus	2	40	25
mobala_mammarenavirus	0	0	25
modoc	0	0	25
mojiang_henipavirus	0	20	25
mokola_lyssavirus	1	0	25
molluscum_contagiosum	3	50	25
monkeypox	1	50	25
montana_myotis_leukoencephalitis	0	0	25
montano_orthohantavirus	0	0	25
mopeia_lassa_virus_reassortant_29	1	10	25
mopeia_mammarenavirus	1	20	25
morogoro_mammarenavirus	0	0	25
mossman	1	0	25
mosso_das_pedras	0	0	25
mucambo	0	0	25
mumps_rubulavirus	3	30	25
mupapillomavirus_1	1	0	25
murine_respirovirus	2	30	25
murray_valley_encephalitis	2	30	25
nairobi_sheep_disease_orthonairovirus	1	40	25
nariva	0	0	25
ndumu	1	0	25
nelson_bay_orthoreovirus	1	30	25
new_jersey_vesiculovirus	2	30	25
nipah_henipavirus	2	10	25
norwalk	5	50	25
norway_rat_hepacivirus_1	1	20	25
norway_rat_hepacivirus_2	0	0	25
nounane	1	20	25
nova_orthohantavirus	3	40	25
ntaya	1	10	25
nyando_orthobunyavirus	0	0	25
ochlerotatus_caspius_flavivirus	0	0	25
oliveros_mammarenavirus	1	20	25
omsk_hemorrhagic_fever	1	20	25
onyong-nyong	2	20	25
ordinary_reptarenavirus	1	10	25
orf	3	50	25
oriboca_orthobunyavirus	0	0	25
oropouche_orthobunyavirus	2	40	25
orthohepevirus_a	5	50	25
orthohepevirus_b	1	30	25
orthohepevirus_c	1	30	25
orthohepevirus_d	0	0	25
orungo	0	20	25
palm_creek	0	0	25
paraguayan_mammarenavirus	0	0	25
paraiso_escondido	0	20	25
parechovirus_a	5	50	25
parechovirus_b	1	30	25
parramatta_river	1	0	25
patois_orthobunyavirus	0	0	25
pegivirus_a	4	40	25
pegivirus_c	5	50	25
pegivirus_h	3	30	25
phnom_penh_bat	1	0	25
phocine_morbillivirus	0	0	25
pirital_mammarenavirus	0	30	25
piry_vesiculovirus	1	0	25
piscihepevirus_a	0	0	25
pixuna	1	20	25
porcine_respirovirus_1	2	30	25
porcine_rubulavirus	2	20	25
powassan	2	30	25
primate_erythroparvovirus_1	2	20	25
primate_t-lymphotropic_virus_1	3	30	25
primate_t-lymphotropic_virus_2	2	20	25
primate_t-lymphotropic_virus_3	2	30	25
prospect_hill_orthohantavirus	1	0	25
punta_toro_phlebovirus	2	40	25
puumala_orthohantavirus	4	50	25
qalyub_orthonairovirus	0	20	25
quang_binh	1	30	25
quezon_orthohantavirus	0	20	25
rabies_lyssavirus	5	50	25
razdan	0	0	25
reptilian_ferlavirus	1	0	25
respiratory_syncytial	3	30	25
reston_ebolavirus	3	20	25
rhinovirus_a	5	50	25
rhinovirus_b	3	50	25
rhinovirus_c	3	50	25
rift_valley_fever_phlebovirus	3	30	25
rinderpest_morbillivirus	2	30	25
rio_bravo	1	10	25
rio_negro	0	0	25
rockport_orthohantavirus	1	20	25
rodent_hepacivirus	1	20	25
rodent_torque_teno_virus_2	1	0	25
rosavirus_a	0	0	25
ross_river	2	20	25
rotavirus_a	6	50	25
rotavirus_b	3	50	25
rotavirus_c	6	50	25
rotavirus_f	0	0	25
rotavirus_g	1	0	25
rotavirus_h	2	20	25
rotavirus_i	1	0	25
royal_farm	1	0	25
rubella	4	30	25
ryukyu_mammarenavirus	0	0	25
saboya	0	0	25
saint_louis_encephalitis	3	30	25
sakhalin_orthonairovirus	1	30	25
salehabad_phlebovirus	1	0	25
salem	0	0	25
salivirus_a	2	20	25
salmon_aquaparamyxovirus	0	0	25
sandfly_fever_naples_phlebovirus	3	50	25
sandfly_fever_sicilian	1	0	25
sangassou_orthohantavirus	1	0	25
sapporo	5	50	25
sathuperi_orthobunyavirus	2	30	25
saumarez_reef	0	0	25
seal_anellovirus_2	1	0	25
seal_anellovirus_3	1	0	25
seal_anellovirus_tffn--usa--2006	0	0	25
semliki_forest	1	20	25
seoul_orthohantavirus	3	30	25
sepik	0	10	25
serra_do_navio_mammarenavirus	1	20	25
severe_acute_respiratory_syndrome-related_coronavirus	4	50	25
sewage_derived_gemygorvirus_1	0	0	25
sfts_phlebovirus	4	20	25
shamonda_orthobunyavirus	1	30	25
shimoni_bat_lyssavirus	0	0	25
shuni_orthobunyavirus	2	30	25
simbu_orthobunyavirus	0	20	25
simian_foamy	1	40	25
simian_immunodeficiency	6	50	25
simian_rubulavirus	0	20	25
simian_torque_teno_virus_30	0	0	25
simian_torque_teno_virus_31	0	0	25
simian_torque_teno_virus_32	0	0	25
simian_torque_teno_virus_33	0	0	25
simian_torque_teno_virus_34	0	0	25
sin_nombre_orthohantavirus	2	30	25
sindbis	2	30	25
small_anellovirus	0	0	25
small_ruminant_morbillivirus	4	40	25
solwezi_mammarenavirus	0	0	25
sosuga_rubulavirus	0	0	25
souris_mammarenavirus	1	0	25
spanish_goat_encephalitis	1	0	25
spondweni	1	20	25
sudan_ebolavirus	2	20	25
tacaiuma_orthobunyavirus	0	0	25
tacaribe_mammarenavirus	1	10	25
tai_forest_ebolavirus	1	20	25
tailam	0	0	25
tamana_bat	0	10	25
tamiami_mammarenavirus	0	20	25
tanapox	2	40	25
tapara	1	0	25
tembusu	3	30	25
tete_orthobunyavirus	0	20	25
thailand_orthohantavirus	0	0	25
thiafora_orthonairovirus	0	20	25
tho	0	0	25
thogoto_thogotovirus	0	0	25
thottapalayam_orthohantavirus	2	30	25
tick-borne_encephalitis	4	40	25
tioman_rubulavirus	1	0	25
tofla	1	20	25
tonate	0	20	25
toros	1	0	25
torque_teno	3	50	25
torque_teno_canis	1	0	25
torque_teno_douroucouli	0	0	25
torque_teno_felis	1	0	25
torque_teno_felis_virus_2	0	0	25
torque_teno_indri_virus_1	0	0	25
torque_teno_leptonychotes_weddellii_virus-1	3	40	25
torque_teno_leptonychotes_weddellii_virus-2	2	20	25
torque_teno_midi_virus_1	1	0	25
torque_teno_midi_virus_10	0	0	25
torque_teno_midi_virus_11	0	0	25
torque_teno_midi_virus_12	0	0	25
torque_teno_midi_virus_13	0	0	25
torque_teno_midi_virus_14	0	0	25
torque_teno_midi_virus_15	0	0	25
torque_teno_midi_virus_2	0	0	25
torque_teno_midi_virus_3	0	0	25
torque_teno_midi_virus_4	0	0	25
torque_teno_midi_virus_5	0	0	25
torque_teno_midi_virus_6	0	0	25
torque_teno_midi_virus_7	0	0	25
torque_teno_midi_virus_8	0	0	25
torque_teno_midi_virus_9	1	0	25
torque_teno_mini_virus_1	0	0	25
torque_teno_mini_virus_10	0	0	25
torque_teno_mini_virus_11	0	0	25
torque_teno_mini_virus_12	0	0	25
torque_teno_mini_virus_18	0	0	25
torque_teno_mini_virus_2	0	0	25
torque_teno_mini_virus_3	0	0	25
torque_teno_mini_virus_4	0	0	25
torque_teno_mini_virus_5	0	0	25
torque_teno_mini_virus_6	0	0	25
torque_teno_mini_virus_7	0	0	25
torque_teno_mini_virus_8	0	0	25
torque_teno_mini_virus_9	1	0	25
torque_teno_mini_virus_ala22	1	0	25
torque_teno_mini_virus_alh8	0	0	25
torque_teno_sus_virus_1a	2	30	25
torque_teno_sus_virus_1b	3	30	25
torque_teno_sus_virus_k2a	1	20	25
torque_teno_sus_virus_k2b	1	0	25
torque_teno_tamarin	0	0	25
torque_teno_tupaia	0	0	25
torque_teno_virus_1	1	0	25
torque_teno_virus_10	1	0	25
torque_teno_virus_11	0	0	25
torque_teno_virus_12	1	0	25
torque_teno_virus_13	0	0	25
torque_teno_virus_14	0	0	25
torque_teno_virus_15	1	0	25
torque_teno_virus_16	0	0	25
torque_teno_virus_19	0	0	25
torque_teno_virus_2	0	0	25
torque_teno_virus_20	0	0	25
torque_teno_virus_21	1	0	25
torque_teno_virus_23	0	0	25
torque_teno_virus_24	0	0	25
torque_teno_virus_25	0	0	25
torque_teno_virus_26	0	0	25
torque_teno_virus_27	0	0	25
torque_teno_virus_28	0	0	25
torque_teno_virus_29	0	0	25
torque_teno_virus_3	1	0	25
torque_teno_virus_4	1	0	25
torque_teno_virus_5	0	0	25
torque_teno_virus_6	0	0	25
torque_teno_virus_7	0	0	25
torque_teno_virus_8	0	0	25
torque_teno_virus_9	0	0	25
torque_teno_zalophus_virus_1	0	0	25
ttv-like_mini	1	30	25
tuhoko_rubulavirus_1	0	20	25
tuhoko_rubulavirus_2	0	20	25
tuhoko_rubulavirus_3	0	0	25
tula_orthohantavirus	2	20	25
tupaia_paramyxovirus	0	20	25
uganda_s	0	0	25
uriurana	0	0	25
urucuri	1	0	25
usutu	2	20	25
uukuniemi_phlebovirus	2	30	25
vaccinia	4	50	25
variola	1	50	25
venezuelan_equine_encephalitis	3	30	25
vesicular_exanthema_of_swine	1	30	25
wesselsbron	1	20	25
west_caucasian_bat_lyssavirus	0	0	25
west_nile	3	50	25
western_equine_encephalitis	2	30	25
whataroa	0	0	25
whitewater_arroyo_mammarenavirus	1	30	25
wyeomyia_orthobunyavirus	1	20	25
yaba_monkey_tumor	0	40	25
yakeshi_orthohantavirus	0	0	25
yaounde	0	0	25
yellow_fever	4	30	25
yogue	0	20	25
yokose	0	0	25
yug_bogdanovac_vesiculovirus	0	0	25
zaire_ebolavirus	4	40	25
zerdali	0	20	25
zika	4	40	25
zygosaccharomyces_bailii_virus_z	0	0	25
