dataset	mismatches	cover_extension	num_probes
enterovirus_d	4	0	1399
enterovirus_d	4	25	708
enterovirus_d	4	50	476
enterovirus_d	4	75	343
enterovirus_d	6	0	1169
enterovirus_d	6	25	559
enterovirus_d	6	50	384
enterovirus_d	6	75	271
enterovirus_d	8	0	1047
enterovirus_d	8	25	528
enterovirus_d	8	50	358
enterovirus_d	8	75	252
enterovirus_e	0	0	1690
enterovirus_e	0	25	1079
enterovirus_e	0	50	783
enterovirus_e	0	75	625
enterovirus_e	1	0	1656
enterovirus_e	1	25	1052
enterovirus_e	1	50	774
enterovirus_e	1	75	608
enterovirus_e	2	0	1658
enterovirus_e	2	25	1048
enterovirus_e	2	50	764
enterovirus_e	2	75	594
enterovirus_e	3	0	1649
enterovirus_e	3	25	1032
enterovirus_e	3	50	749
enterovirus_e	3	75	591
enterovirus_e	4	0	1626
enterovirus_e	4	25	1008
enterovirus_e	4	50	734
enterovirus_e	4	75	575
enterovirus_e	6	0	1591
enterovirus_e	6	25	995
enterovirus_e	6	50	732
enterovirus_e	6	75	568
enterovirus_e	8	0	1569
enterovirus_e	8	25	978
enterovirus_e	8	50	684
enterovirus_e	8	75	543
hpiv_1	0	0	2701
hpiv_1	0	25	1165
hpiv_1	0	50	721
hpiv_1	0	75	489
hpiv_1	1	0	1109
hpiv_1	1	25	536
hpiv_1	1	50	333
hpiv_1	1	75	252
hpiv_1	2	0	661
hpiv_1	2	25	316
hpiv_1	2	50	214
hpiv_1	2	75	158
hpiv_1	3	0	526
hpiv_1	3	25	264
hpiv_1	3	50	186
hpiv_1	3	75	144
hpiv_1	4	0	446
hpiv_1	4	25	235
hpiv_1	4	50	166
hpiv_1	4	75	125
hpiv_1	6	0	416
hpiv_1	6	25	223
hpiv_1	6	50	155
hpiv_1	6	75	123
hpiv_1	8	0	394
hpiv_1	8	25	222
hpiv_1	8	50	161
hpiv_1	8	75	123
hpiv_2	0	0	3030
hpiv_2	0	25	1255
hpiv_2	0	50	771
hpiv_2	0	75	553
hpiv_2	1	0	1234
hpiv_2	1	25	588
hpiv_2	1	50	382
hpiv_2	1	75	272
hpiv_2	2	0	831
hpiv_2	2	25	426
hpiv_2	2	50	267
hpiv_2	2	75	183
hpiv_2	3	0	635
hpiv_2	3	25	322
hpiv_2	3	50	218
hpiv_2	3	75	141
hpiv_2	4	0	543
hpiv_2	4	25	283
hpiv_2	4	50	183
hpiv_2	4	75	129
hpiv_2	6	0	467
hpiv_2	6	25	256
hpiv_2	6	50	168
hpiv_2	6	75	116
hpiv_2	8	0	455
hpiv_2	8	25	244
hpiv_2	8	50	157
hpiv_2	8	75	121
hpiv_3	0	0	11633
hpiv_3	0	25	4157
hpiv_3	0	50	2370
hpiv_3	0	75	1565
hpiv_3	1	0	3894
hpiv_3	1	25	1560
hpiv_3	1	50	954
hpiv_3	1	75	643
hpiv_3	2	0	2039
hpiv_3	2	25	870
hpiv_3	2	50	549
hpiv_3	2	75	392
hpiv_3	3	0	1365
hpiv_3	3	25	611
hpiv_3	3	50	407
hpiv_3	3	75	306
hpiv_3	4	0	1112
hpiv_3	4	25	513
hpiv_3	4	50	346
hpiv_3	4	75	254
hpiv_3	6	0	925
hpiv_3	6	25	437
hpiv_3	6	50	304
hpiv_3	6	75	223
hpiv_3	8	0	888
hpiv_3	8	25	414
hpiv_3	8	50	290
hpiv_3	8	75	215
hpiv_4	0	0	3415
hpiv_4	0	25	1764
hpiv_4	0	50	1162
hpiv_4	0	75	853
hpiv_4	1	0	2080
hpiv_4	1	25	1061
hpiv_4	1	50	686
hpiv_4	1	75	512
hpiv_4	2	0	1444
hpiv_4	2	25	762
hpiv_4	2	50	509
hpiv_4	2	75	383
hpiv_4	3	0	1134
hpiv_4	3	25	629
hpiv_4	3	50	432
hpiv_4	3	75	319
hpiv_4	4	0	989
hpiv_4	4	25	532
hpiv_4	4	50	361
hpiv_4	4	75	276
hpiv_4	6	0	838
hpiv_4	6	25	449
hpiv_4	6	50	306
hpiv_4	6	75	222
hpiv_4	8	0	769
hpiv_4	8	25	415
hpiv_4	8	50	263
hpiv_4	8	75	197
hrsv	0	0	27856
hrsv	0	25	8530
hrsv	0	50	4646
hrsv	0	75	2898
hrsv	1	0	7726
hrsv	1	25	2708
hrsv	1	50	1501
hrsv	1	75	1000
hrsv	2	0	3683
hrsv	2	25	1443
hrsv	2	50	831
hrsv	2	75	601
hrsv	3	0	2408
hrsv	3	25	989
hrsv	3	50	615
hrsv	3	75	423
hrsv	4	0	1937
hrsv	4	25	823
hrsv	4	50	503
hrsv	4	75	373
hrsv	6	0	1580
hrsv	6	25	680
hrsv	6	50	442
hrsv	6	75	334
hrsv	8	0	1455
hrsv	8	25	648
hrsv	8	50	430
hrsv	8	75	326
human_coronavirus_229e	0	0	4749
human_coronavirus_229e	0	25	2521
human_coronavirus_229e	0	50	1774
human_coronavirus_229e	0	75	1337
human_coronavirus_229e	1	0	3426
human_coronavirus_229e	1	25	1985
human_coronavirus_229e	1	50	1375
human_coronavirus_229e	1	75	1040
human_coronavirus_229e	2	0	2920
human_coronavirus_229e	2	25	1688
human_coronavirus_229e	2	50	1182
human_coronavirus_229e	2	75	897
human_coronavirus_229e	3	0	2579
human_coronavirus_229e	3	25	1492
human_coronavirus_229e	3	50	1026
human_coronavirus_229e	3	75	758
human_coronavirus_229e	4	0	2312
human_coronavirus_229e	4	25	1302
human_coronavirus_229e	4	50	899
human_coronavirus_229e	4	75	645
human_coronavirus_229e	6	0	1954
human_coronavirus_229e	6	25	1099
human_coronavirus_229e	6	50	750
human_coronavirus_229e	6	75	556
human_coronavirus_229e	8	0	1837
human_coronavirus_229e	8	25	1024
human_coronavirus_229e	8	50	704
human_coronavirus_229e	8	75	511
human_coronavirus_hku1	0	0	1938
human_coronavirus_hku1	0	25	893
human_coronavirus_hku1	0	50	583
human_coronavirus_hku1	0	75	433
human_coronavirus_hku1	1	0	990
human_coronavirus_hku1	1	25	579
human_coronavirus_hku1	1	50	409
human_coronavirus_hku1	1	75	319
human_coronavirus_hku1	2	0	878
human_coronavirus_hku1	2	25	513
human_coronavirus_hku1	2	50	373
human_coronavirus_hku1	2	75	298
human_coronavirus_hku1	3	0	840
human_coronavirus_hku1	3	25	491
human_coronavirus_hku1	3	50	363
human_coronavirus_hku1	3	75	296
human_coronavirus_hku1	4	0	775
human_coronavirus_hku1	4	25	465
human_coronavirus_hku1	4	50	346
human_coronavirus_hku1	4	75	279
human_coronavirus_hku1	6	0	761
human_coronavirus_hku1	6	25	465
human_coronavirus_hku1	6	50	333
human_coronavirus_hku1	6	75	281
human_coronavirus_hku1	8	0	737
human_coronavirus_hku1	8	25	463
human_coronavirus_hku1	8	50	321
human_coronavirus_hku1	8	75	264
human_coronavirus_nl63	0	0	2407
human_coronavirus_nl63	0	25	998
human_coronavirus_nl63	0	50	637
human_coronavirus_nl63	0	75	450
human_coronavirus_nl63	1	0	994
human_coronavirus_nl63	1	25	507
human_coronavirus_nl63	1	50	352
human_coronavirus_nl63	1	75	270
human_coronavirus_nl63	2	0	746
human_coronavirus_nl63	2	25	424
human_coronavirus_nl63	2	50	294
human_coronavirus_nl63	2	75	239
human_coronavirus_nl63	3	0	686
human_coronavirus_nl63	3	25	414
human_coronavirus_nl63	3	50	285
human_coronavirus_nl63	3	75	239
human_coronavirus_nl63	4	0	671
human_coronavirus_nl63	4	25	397
human_coronavirus_nl63	4	50	284
human_coronavirus_nl63	4	75	230
human_coronavirus_nl63	6	0	654
human_coronavirus_nl63	6	25	383
human_coronavirus_nl63	6	50	279
human_coronavirus_nl63	6	75	220
human_coronavirus_nl63	8	0	656
human_coronavirus_nl63	8	25	387
human_coronavirus_nl63	8	50	277
human_coronavirus_nl63	8	75	222
human_mastadenovirus_a	0	0	2870
human_mastadenovirus_a	0	25	1661
human_mastadenovirus_a	0	50	1180
human_mastadenovirus_a	0	75	897
human_mastadenovirus_a	1	0	2436
human_mastadenovirus_a	1	25	1450
human_mastadenovirus_a	1	50	1018
human_mastadenovirus_a	1	75	773
human_mastadenovirus_a	2	0	2208
human_mastadenovirus_a	2	25	1311
human_mastadenovirus_a	2	50	937
human_mastadenovirus_a	2	75	731
human_mastadenovirus_a	3	0	2059
human_mastadenovirus_a	3	25	1250
human_mastadenovirus_a	3	50	857
human_mastadenovirus_a	3	75	673
human_mastadenovirus_a	4	0	1950
human_mastadenovirus_a	4	25	1133
human_mastadenovirus_a	4	50	800
human_mastadenovirus_a	4	75	622
human_mastadenovirus_a	6	0	1788
human_mastadenovirus_a	6	25	1038
human_mastadenovirus_a	6	50	713
human_mastadenovirus_a	6	75	542
human_mastadenovirus_a	8	0	1688
human_mastadenovirus_a	8	25	942
human_mastadenovirus_a	8	50	664
human_mastadenovirus_a	8	75	487
human_mastadenovirus_b	0	0	10731
human_mastadenovirus_b	0	25	5035
human_mastadenovirus_b	0	50	3296
human_mastadenovirus_b	0	75	2393
human_mastadenovirus_b	1	0	5954
human_mastadenovirus_b	1	25	3028
human_mastadenovirus_b	1	50	2018
human_mastadenovirus_b	1	75	1508
human_mastadenovirus_b	2	0	4506
human_mastadenovirus_b	2	25	2332
human_mastadenovirus_b	2	50	1589
human_mastadenovirus_b	2	75	1188
human_mastadenovirus_b	3	0	3786
human_mastadenovirus_b	3	25	2015
human_mastadenovirus_b	3	50	1358
human_mastadenovirus_b	3	75	1001
human_mastadenovirus_b	4	0	3370
human_mastadenovirus_b	4	25	1792
human_mastadenovirus_b	4	50	1211
human_mastadenovirus_b	4	75	906
human_mastadenovirus_b	6	0	2908
human_mastadenovirus_b	6	25	1535
human_mastadenovirus_b	6	50	1039
human_mastadenovirus_b	6	75	781
human_mastadenovirus_b	8	0	2718
human_mastadenovirus_b	8	25	1409
human_mastadenovirus_b	8	50	949
human_mastadenovirus_b	8	75	711
human_mastadenovirus_c	0	0	7507
human_mastadenovirus_c	0	25	3529
human_mastadenovirus_c	0	50	2276
human_mastadenovirus_c	0	75	1665
human_mastadenovirus_c	1	0	4434
human_mastadenovirus_c	1	25	2318
human_mastadenovirus_c	1	50	1580
human_mastadenovirus_c	1	75	1175
human_mastadenovirus_c	2	0	3583
human_mastadenovirus_c	2	25	1923
human_mastadenovirus_c	2	50	1347
human_mastadenovirus_c	2	75	980
human_mastadenovirus_c	3	0	3218
human_mastadenovirus_c	3	25	1768
human_mastadenovirus_c	3	50	1222
human_mastadenovirus_c	3	75	923
human_mastadenovirus_c	4	0	2967
human_mastadenovirus_c	4	25	1671
human_mastadenovirus_c	4	50	1127
human_mastadenovirus_c	4	75	848
human_mastadenovirus_c	6	0	2657
human_mastadenovirus_c	6	25	1470
human_mastadenovirus_c	6	50	1006
human_mastadenovirus_c	6	75	770
human_mastadenovirus_c	8	0	2516
human_mastadenovirus_c	8	25	1399
human_mastadenovirus_c	8	50	947
human_mastadenovirus_c	8	75	691
human_mastadenovirus_d	0	0	15727
human_mastadenovirus_d	0	25	6990
human_mastadenovirus_d	0	50	4352
human_mastadenovirus_d	0	75	3041
human_mastadenovirus_d	1	0	7631
human_mastadenovirus_d	1	25	3666
human_mastadenovirus_d	1	50	2312
human_mastadenovirus_d	1	75	1619
human_mastadenovirus_d	2	0	5148
human_mastadenovirus_d	2	25	2569
human_mastadenovirus_d	2	50	1638
human_mastadenovirus_d	2	75	1196
human_mastadenovirus_d	3	0	4004
human_mastadenovirus_d	3	25	2033
human_mastadenovirus_d	3	50	1313
human_mastadenovirus_d	3	75	980
human_mastadenovirus_d	4	0	3475
human_mastadenovirus_d	4	25	1763
human_mastadenovirus_d	4	50	1182
human_mastadenovirus_d	4	75	867
human_mastadenovirus_d	6	0	2912
human_mastadenovirus_d	6	25	1552
human_mastadenovirus_d	6	50	1015
human_mastadenovirus_d	6	75	774
human_mastadenovirus_d	8	0	2657
human_mastadenovirus_d	8	25	1439
human_mastadenovirus_d	8	50	943
human_mastadenovirus_d	8	75	725
human_mastadenovirus_e	0	0	4758
human_mastadenovirus_e	0	25	2355
human_mastadenovirus_e	0	50	1566
human_mastadenovirus_e	0	75	1121
human_mastadenovirus_e	1	0	3047
human_mastadenovirus_e	1	25	1585
human_mastadenovirus_e	1	50	1050
human_mastadenovirus_e	1	75	747
human_mastadenovirus_e	2	0	2508
human_mastadenovirus_e	2	25	1271
human_mastadenovirus_e	2	50	830
human_mastadenovirus_e	2	75	603
human_mastadenovirus_e	3	0	2142
human_mastadenovirus_e	3	25	1077
human_mastadenovirus_e	3	50	701
human_mastadenovirus_e	3	75	531
human_mastadenovirus_e	4	0	1900
human_mastadenovirus_e	4	25	963
human_mastadenovirus_e	4	50	641
human_mastadenovirus_e	4	75	473
human_mastadenovirus_e	6	0	1629
human_mastadenovirus_e	6	25	833
human_mastadenovirus_e	6	50	559
human_mastadenovirus_e	6	75	400
human_mastadenovirus_e	8	0	1506
human_mastadenovirus_e	8	25	775
human_mastadenovirus_e	8	50	518
human_mastadenovirus_e	8	75	371
human_mastadenovirus_f	0	0	2014
human_mastadenovirus_f	0	25	1011
human_mastadenovirus_f	0	50	697
human_mastadenovirus_f	0	75	494
human_mastadenovirus_f	1	0	1407
human_mastadenovirus_f	1	25	794
human_mastadenovirus_f	1	50	548
human_mastadenovirus_f	1	75	417
human_mastadenovirus_f	2	0	1242
human_mastadenovirus_f	2	25	738
human_mastadenovirus_f	2	50	515
human_mastadenovirus_f	2	75	388
human_mastadenovirus_f	3	0	1184
human_mastadenovirus_f	3	25	684
human_mastadenovirus_f	3	50	479
human_mastadenovirus_f	3	75	378
human_mastadenovirus_f	4	0	1130
human_mastadenovirus_f	4	25	673
human_mastadenovirus_f	4	50	472
human_mastadenovirus_f	4	75	362
human_mastadenovirus_f	6	0	1078
human_mastadenovirus_f	6	25	624
human_mastadenovirus_f	6	50	443
human_mastadenovirus_f	6	75	347
human_mastadenovirus_f	8	0	1059
human_mastadenovirus_f	8	25	630
human_mastadenovirus_f	8	50	426
human_mastadenovirus_f	8	75	326
human_mastadenovirus_g	0	0	2293
human_mastadenovirus_g	0	25	1308
human_mastadenovirus_g	0	50	880
human_mastadenovirus_g	0	75	684
human_mastadenovirus_g	1	0	1803
human_mastadenovirus_g	1	25	1052
human_mastadenovirus_g	1	50	708
human_mastadenovirus_g	1	75	551
human_mastadenovirus_g	2	0	1557
human_mastadenovirus_g	2	25	904
human_mastadenovirus_g	2	50	636
human_mastadenovirus_g	2	75	474
human_mastadenovirus_g	3	0	1435
human_mastadenovirus_g	3	25	826
human_mastadenovirus_g	3	50	590
human_mastadenovirus_g	3	75	446
human_mastadenovirus_g	4	0	1362
human_mastadenovirus_g	4	25	808
human_mastadenovirus_g	4	50	554
human_mastadenovirus_g	4	75	422
human_mastadenovirus_g	6	0	1238
human_mastadenovirus_g	6	25	721
human_mastadenovirus_g	6	50	493
human_mastadenovirus_g	6	75	377
human_mastadenovirus_g	8	0	1183
human_mastadenovirus_g	8	25	683
human_mastadenovirus_g	8	50	463
human_mastadenovirus_g	8	75	355
human_metapneumovirus	0	0	7762
human_metapneumovirus	0	25	3588
human_metapneumovirus	0	50	2250
human_metapneumovirus	0	75	1557
human_metapneumovirus	1	0	3447
human_metapneumovirus	1	25	1646
human_metapneumovirus	1	50	1022
human_metapneumovirus	1	75	740
human_metapneumovirus	2	0	2113
human_metapneumovirus	2	25	1031
human_metapneumovirus	2	50	669
human_metapneumovirus	2	75	479
human_metapneumovirus	3	0	1558
human_metapneumovirus	3	25	764
human_metapneumovirus	3	50	501
human_metapneumovirus	3	75	361
human_metapneumovirus	4	0	1264
human_metapneumovirus	4	25	633
human_metapneumovirus	4	50	407
human_metapneumovirus	4	75	319
human_metapneumovirus	6	0	1077
human_metapneumovirus	6	25	524
human_metapneumovirus	6	50	356
human_metapneumovirus	6	75	268
human_metapneumovirus	8	0	982
human_metapneumovirus	8	25	512
human_metapneumovirus	8	50	324
human_metapneumovirus	8	75	260
mers	0	0	7636
mers	0	25	3119
mers	0	50	2024
mers	0	75	1502
mers	1	0	3832
mers	1	25	2181
mers	1	50	1528
mers	1	75	1190
mers	2	0	3353
mers	2	25	1952
mers	2	50	1404
mers	2	75	1062
mers	3	0	3184
mers	3	25	1862
mers	3	50	1325
mers	3	75	1025
mers	4	0	3017
mers	4	25	1780
mers	4	50	1249
mers	4	75	973
mers	6	0	2810
mers	6	25	1602
mers	6	50	1115
mers	6	75	871
mers	8	0	2698
mers	8	25	1541
mers	8	50	1045
mers	8	75	809
ncov	0	0	1065
ncov	0	25	599
ncov	0	50	409
ncov	0	75	315
ncov	1	0	904
ncov	1	25	499
ncov	1	50	334
ncov	1	75	242
ncov	2	0	780
ncov	2	25	418
ncov	2	50	299
ncov	2	75	222
ncov	3	0	723
ncov	3	25	400
ncov	3	50	277
ncov	3	75	203
ncov	4	0	661
ncov	4	25	390
ncov	4	50	257
ncov	4	75	203
ncov	6	0	631
ncov	6	25	371
ncov	6	50	257
ncov	6	75	202
ncov	8	0	626
ncov	8	25	367
ncov	8	50	257
ncov	8	75	200
rhinovirus_a	0	0	15685
rhinovirus_a	0	25	9554
rhinovirus_a	0	50	6876
rhinovirus_a	0	75	5415
rhinovirus_a	1	0	14341
rhinovirus_a	1	25	8812
rhinovirus_a	1	50	6388
rhinovirus_a	1	75	4948
rhinovirus_a	2	0	13557
rhinovirus_a	2	25	8215
rhinovirus_a	2	50	5888
rhinovirus_a	2	75	4630
rhinovirus_a	3	0	12668
rhinovirus_a	3	25	7628
rhinovirus_a	3	50	5404
rhinovirus_a	3	75	4213
rhinovirus_a	4	0	11895
rhinovirus_a	4	25	7049
rhinovirus_a	4	50	4925
rhinovirus_a	4	75	3773
rhinovirus_a	6	0	10451
rhinovirus_a	6	25	6039
rhinovirus_a	6	50	4141
rhinovirus_a	6	75	3106
rhinovirus_a	8	0	9403
rhinovirus_a	8	25	5276
rhinovirus_a	8	50	3566
rhinovirus_a	8	75	2677
rhinovirus_b	0	0	6434
rhinovirus_b	0	25	3982
rhinovirus_b	0	50	2879
rhinovirus_b	0	75	2297
rhinovirus_b	1	0	6064
rhinovirus_b	1	25	3742
rhinovirus_b	1	50	2714
rhinovirus_b	1	75	2100
rhinovirus_b	2	0	5754
rhinovirus_b	2	25	3471
rhinovirus_b	2	50	2468
rhinovirus_b	2	75	1948
rhinovirus_b	3	0	5339
rhinovirus_b	3	25	3223
rhinovirus_b	3	50	2261
rhinovirus_b	3	75	1747
rhinovirus_b	4	0	5001
rhinovirus_b	4	25	2976
rhinovirus_b	4	50	2056
rhinovirus_b	4	75	1564
rhinovirus_b	6	0	4442
rhinovirus_b	6	25	2570
rhinovirus_b	6	50	1765
rhinovirus_b	6	75	1347
rhinovirus_b	8	0	4110
rhinovirus_b	8	25	2302
rhinovirus_b	8	50	1564
rhinovirus_b	8	75	1168
rhinovirus_c	0	0	7361
rhinovirus_c	0	25	4492
rhinovirus_c	0	50	3231
rhinovirus_c	0	75	2502
rhinovirus_c	1	0	6681
rhinovirus_c	1	25	4038
rhinovirus_c	1	50	2891
rhinovirus_c	1	75	2241
rhinovirus_c	2	0	6091
rhinovirus_c	2	25	3662
rhinovirus_c	2	50	2624
rhinovirus_c	2	75	2016
rhinovirus_c	3	0	5680
rhinovirus_c	3	25	3419
rhinovirus_c	3	50	2438
rhinovirus_c	3	75	1893
rhinovirus_c	4	0	5381
rhinovirus_c	4	25	3216
rhinovirus_c	4	50	2310
rhinovirus_c	4	75	1778
rhinovirus_c	6	0	4999
rhinovirus_c	6	25	3001
rhinovirus_c	6	50	2101
rhinovirus_c	6	75	1617
rhinovirus_c	8	0	4800
rhinovirus_c	8	25	2885
rhinovirus_c	8	50	2008
rhinovirus_c	8	75	1556
sars	0	0	11618
sars	0	25	5857
sars	0	50	3865
sars	0	75	2895
sars	1	0	7337
sars	1	25	3955
sars	1	50	2668
sars	1	75	1988
sars	2	0	5695
sars	2	25	3079
sars	2	50	2088
sars	2	75	1538
sars	3	0	4631
sars	3	25	2568
sars	3	50	1728
sars	3	75	1295
sars	4	0	3970
sars	4	25	2187
sars	4	50	1488
sars	4	75	1111
sars	6	0	3307
sars	6	25	1805
sars	6	50	1220
sars	6	75	923
sars	8	0	3061
sars	8	25	1676
sars	8	50	1139
sars	8	75	855
